Electrode 1,Electrode 2,,,vFlex,,,,vPot,,,Flat,Resting,Fully Bended,,Prob
A13,A2,,0,0,0,,0,0,0,,0,,0,,0,
A12,A2,,1.44365,1.35152,1.33678,,1.61583,1.58212,1.60085,,1.91535,,1.37363,,99.3197,
A11,A2,,0,0,0,,0,0,0,,0,,0,,0,
A10,A2,,1.33309,1.31835,1.34415,,1.62332,1.56714,1.58961,,1.91167,,1.35152,,103.509,
A9,A2,,0,0,0,,0,0,0,,0,,0,,0,
A8,A2,,1.37363,1.36258,1.35521,,1.59336,1.59336,1.60834,,1.93378,,1.32572,,93.7374,
A7,A2,,0,0,0,,0,0,0,,0,,0,,0,
A6,A2,,1.63159,1.63896,1.61317,,1.58587,1.61209,1.57463,,1.94484,,1.35521,,53.75,
A5,A2,,0,0,0,,0,0,0,,0,,0,,0,
A4,A2,,1.60948,1.6058,1.60948,,1.60834,1.59336,1.59336,,1.90798,,1.36626,,55.3288,
A3,A2,,0,0,0,,0,0,0,,0,,0,,0,

B13,B2,,0,0,0,,0,0,0,,0,,0,,0,
B12,B2,,1.35152,1.33309,1.35521,,1.58961,1.58961,1.59711,,1.91535,,1.36626,,103.579,
B11,B2,,0,0,0,,0,0,0,,0,,0,,0,
B10,B2,,1.39206,1.38469,1.37363,,1.59336,1.60834,1.62332,,1.94852,,1.36626,,97.0464,
B9,B2,,0,0,0,,0,0,0,,0,,0,,0,
B8,B2,,1.33678,1.36995,1.35152,,1.60085,1.59336,1.61209,,1.95589,,1.34415,,98.5944,
B7,B2,,0,0,0,,0,0,0,,0,,0,,0,
B6,B2,,1.35521,1.36995,1.36995,,1.6046,1.59336,1.60085,,1.88219,,1.34415,,96.1187,
B5,B2,,0,0,0,,0,0,0,,0,,0,,0,
B4,B2,,1.60211,1.59843,1.62054,,1.59711,1.59711,1.59711,,1.94115,,1.33678,,55.2846,
B3,B2,,0,0,0,,0,0,0,,0,,0,,0,

C13,C2,,0,0,0,,0,0,0,,0,,0,,0,
C12,C2,,1.44365,1.39206,1.35521,,1.57838,1.58961,1.59336,,1.95589,,1.36626,,94.7917,
C11,C2,,0,0,0,,0,0,0,,0,,0,,0,
C10,C2,,1.41417,1.43259,1.40311,,1.58587,1.60834,1.60085,,1.91167,,1.39943,,96.6427,
C9,C2,,0,0,0,,0,0,0,,0,,0,,0,
C8,C2,,1.34784,1.39574,1.37363,,1.59711,1.57838,1.58587,,1.95589,,1.34046,,94.8104,
C7,C2,,0,0,0,,0,0,0,,0,,0,,0,
C6,C2,,1.35521,1.36258,1.41417,,1.6046,1.59336,1.59711,,1.94115,,1.37363,,99.3506,
C5,C2,,0,0,0,,0,0,0,,0,,0,,0,
C4,C2,,1.4068,1.37732,1.47682,,1.61209,1.58961,1.59336,,1.94852,,1.35889,,89.5833,
C3,C2,,0,0,0,,0,0,0,,0,,0,,0,

D13,D2,,0,0,0,,0,0,0,,0,,0,,0,
D12,D2,,1.41785,1.4068,1.42154,,1.62332,1.58587,1.57838,,1.94115,,1.37363,,92.6407,
D11,D2,,0,0,0,,0,0,0,,0,,0,,0,
D10,D2,,1.381,1.32204,1.381,,1.61209,1.58961,1.59336,,1.95589,,1.34784,,97.7778,
D9,D2,,0,0,0,,0,0,0,,0,,0,,0,
D8,D2,,1.43259,1.43259,1.34046,,1.61583,1.60085,1.58587,,1.94852,,1.39574,,98.8889,
D7,D2,,0,0,0,,0,0,0,,0,,0,,0,
D6,D2,,1.38469,1.40311,1.36258,,1.61209,1.60085,1.58587,,1.95958,,1.38837,,100.86,
D5,D2,,0,0,0,,0,0,0,,0,,0,,0,
D4,D2,,1.43259,1.45102,1.52841,,1.59711,1.51845,1.58587,,1.95958,,1.38469,,85.0427,
D3,D2,,0,0,0,,0,0,0,,0,,0,,0,


Start time:,Tue Feb 25 17:56:11 2020

End time:,Tue Feb 25 18:13:29 2020

