Electrode 1,Electrode 2,,,vFlex,,,,vPot,,,Flat,Resting,Fully Bended,,Prob
A13,A3,,0,0,0,,0,0,0,,0,0,0,,81,
A12,A3,,0,0,0,,0,0,0,,0,0,0,,45,
A11,A3,,0,0,0,,0,0,0,,0,0,0,,5,
A10,A3,,0,0,0,,0,0,0,,0,0,0,,64,
A9,A3,,0,0,0,,0,0,0,,0,0,0,,62,
A8,A3,,0,0,0,,0,0,0,,0,0,0,,58,
A7,A3,,0,0,0,,0,0,0,,0,0,0,,78,
A6,A3,,0,0,0,,0,0,0,,0,0,0,,24,
A5,A3,,0,0,0,,0,0,0,,0,0,0,,69,
A4,A3,,0,0,0,,0,0,0,,0,0,0,,0,

B13,B3,,0,0,0,,0,0,0,,0,0,0,,82,
B12,B3,,0,0,0,,0,0,0,,0,0,0,,92,
B11,B3,,0,0,0,,0,0,0,,0,0,0,,53,
B10,B3,,0,0,0,,0,0,0,,0,0,0,,2,
B9,B3,,0,0,0,,0,0,0,,0,0,0,,4,
B8,B3,,0,0,0,,0,0,0,,0,0,0,,91,
B7,B3,,0,0,0,,0,0,0,,0,0,0,,36,
B6,B3,,0,0,0,,0,0,0,,0,0,0,,27,
B5,B3,,0,0,0,,0,0,0,,0,0,0,,42,
B4,B3,,0,0,0,,0,0,0,,0,0,0,,95,

C13,C3,,0,0,0,,0,0,0,,0,0,0,,35,
C12,C3,,0,0,0,,0,0,0,,0,0,0,,99,
C11,C3,,0,0,0,,0,0,0,,0,0,0,,67,
C10,C3,,0,0,0,,0,0,0,,0,0,0,,12,
C9,C3,,0,0,0,,0,0,0,,0,0,0,,69,
C8,C3,,0,0,0,,0,0,0,,0,0,0,,38,
C7,C3,,0,0,0,,0,0,0,,0,0,0,,71,
C6,C3,,0,0,0,,0,0,0,,0,0,0,,26,
C5,C3,,0,0,0,,0,0,0,,0,0,0,,47,
C4,C3,,0,0,0,,0,0,0,,0,0,0,,95,

D13,D3,,0,0,0,,0,0,0,,0,0,0,,44,
D12,D3,,0,0,0,,0,0,0,,0,0,0,,47,
D11,D3,,0,0,0,,0,0,0,,0,0,0,,68,
D10,D3,,0,0,0,,0,0,0,,0,0,0,,53,
D9,D3,,0,0,0,,0,0,0,,0,0,0,,11,
D8,D3,,0,0,0,,0,0,0,,0,0,0,,41,
D7,D3,,0,0,0,,0,0,0,,0,0,0,,64,
D6,D3,,0,0,0,,0,0,0,,0,0,0,,73,
D5,D3,,0,0,0,,0,0,0,,0,0,0,,33,
D4,D3,,0,0,0,,0,0,0,,0,0,0,,22,


Subject:,Glen,,Start time:,Thu Feb 27 16:50:44 2020

Electrode 2 location:,3,,End time:,Thu Feb 27 16:50:46 2020

