Electrode 1,Electrode 2,,,vFlex,,,,vPot,,,Flat,Resting,Fully Bended,,Prob
A13,A2,,0,0,0,,0,0,0,,0,0,0,,0,
A12,A2,,1.4068,1.38837,1.37363,,1.63831,1.63082,1.63831,,1.86376,1.49524,1.22622,,39.2694,
A11,A2,,0,0,0,,0,0,0,,0,0,0,,0,
A10,A2,,1.25939,1.24096,1.25571,,1.63456,1.63456,1.63831,,1.91167,1.48787,1.19306,,80,
A9,A2,,0,0,0,,0,0,0,,0,0,0,,0,
A8,A2,,1.23728,1.25571,1.27413,,1.63831,1.63082,1.64205,,1.88956,1.46208,1.25571,,100,
A7,A2,,0,0,0,,0,0,0,,0,0,0,,0,
A6,A2,,1.4805,1.47682,1.4805,,1.64205,1.63082,1.63082,,1.91167,1.48787,1.25571,,3.7037,
A5,A2,,0,0,0,,0,0,0,,0,0,0,,0,
A4,A2,,1.46208,1.45839,1.46945,,1.63456,1.61583,1.63082,,1.93009,1.44365,1.25202,,-10.2564,
A3,A2,,0,0,0,,0,0,0,,0,0,0,,0,

B13,B2,,0,0,0,,0,0,0,,0,0,0,,0,
B12,B2,,0,0,0,,0,0,0,,0,0,0,,0,
B11,B2,,0,0,0,,0,0,0,,0,0,0,,0,
B10,B2,,0,0,0,,0,0,0,,0,0,0,,0,
B9,B2,,0,0,0,,0,0,0,,0,0,0,,0,
B8,B2,,0,0,0,,0,0,0,,0,0,0,,0,
B7,B2,,0,0,0,,0,0,0,,0,0,0,,0,
B6,B2,,0,0,0,,0,0,0,,0,0,0,,0,
B5,B2,,0,0,0,,0,0,0,,0,0,0,,0,
B4,B2,,0,0,0,,0,0,0,,0,0,0,,0,
B3,B2,,0,0,0,,0,0,0,,0,0,0,,0,

C13,C2,,0,0,0,,0,0,0,,0,0,0,,0,
C12,C2,,1.24096,1.25939,1.27782,,1.63456,1.64205,1.64205,,1.89693,1.49893,1.25571,,98.4848,
C11,C2,,0,0,0,,0,0,0,,0,0,0,,0,
C10,C2,,1.31098,1.29993,1.29256,,1.63456,1.61958,1.63082,,1.90061,1.5063,1.23728,,76.2557,
C9,C2,,0,0,0,,0,0,0,,0,0,0,,0,
C8,C2,,1.25571,1.25202,1.2815,,1.63456,1.63082,1.63456,,1.8785,1.38469,1.24834,,89.1892,
C7,C2,,0,0,0,,0,0,0,,0,0,0,,0,
C6,C2,,1.23359,1.26308,1.23728,,1.62707,1.62332,1.62707,,1.91904,1.49524,1.21885,,90.6667,
C5,C2,,0,0,0,,0,0,0,,0,0,0,,0,
C4,C2,,1.51367,1.5063,1.50261,,1.64205,1.61583,1.63082,,1.93746,1.47313,1.22622,,-13.9303,
C3,C2,,0,0,0,,0,0,0,,0,0,0,,0,

D13,D2,,0,0,0,,0,0,0,,0,0,0,,0,
D12,D2,,0,0,0,,0,0,0,,0,0,0,,0,
D11,D2,,0,0,0,,0,0,0,,0,0,0,,0,
D10,D2,,0,0,0,,0,0,0,,0,0,0,,0,
D9,D2,,0,0,0,,0,0,0,,0,0,0,,0,
D8,D2,,0,0,0,,0,0,0,,0,0,0,,0,
D7,D2,,0,0,0,,0,0,0,,0,0,0,,0,
D6,D2,,0,0,0,,0,0,0,,0,0,0,,0,
D5,D2,,0,0,0,,0,0,0,,0,0,0,,0,
D4,D2,,0,0,0,,0,0,0,,0,0,0,,0,
D3,D2,,0,0,0,,0,0,0,,0,0,0,,0,


Subject:,andre_bb,,Start time:,Thu Mar 05 17:31:32 2020

Electrode 2 location:,2,,End time:,Thu Mar 05 17:35:18 2020

