Electrode 1,Electrode 2,,,vFlex,,,,vPot,,,Flat,Resting,Fully Bended,,Prob
A13,A2,,0,0,0,,0,0,0,,0,0,0,,0,
A12,A2,,1.43628,1.45471,1.46945,,1.62707,1.64205,1.62707,,1.91167,1.37363,1.25571,,-67.7083,
A11,A2,,1.44365,1.45102,1.46208,,1.63831,1.63456,1.63831,,1.93009,1.41785,1.28887,,-26.6667,
A10,A2,,1.37363,1.381,1.36258,,1.63831,1.63456,1.62707,,1.91167,1.4068,1.25939,,23.3333,
A9,A2,,1.23359,1.26308,1.27413,,1.62707,1.63082,1.63082,,1.89693,1.4068,1.24096,,90.3704,
A8,A2,,1.24465,1.25939,1.29256,,1.63831,1.62332,1.63082,,1.90061,1.43996,1.26308,,98.6111,
A7,A2,,1.44365,1.43628,1.46208,,1.63456,1.63831,1.63082,,1.88219,1.42154,1.25571,,-15.5556,
A6,A2,,1.41785,1.41785,1.43996,,1.62707,1.62707,1.63456,,1.90798,1.38837,1.26308,,-29.4118,
A5,A2,,1.45102,1.43996,1.45102,,1.63831,1.62332,1.62707,,1.90061,1.4068,1.25571,,-26.8293,
A4,A2,,1.45471,1.43996,1.45839,,1.63082,1.62332,1.62332,,1.91535,1.42891,1.25571,,-12.766,
A3,A2,,1.43996,1.45471,1.46208,,1.63831,1.62332,1.62707,,1.92641,1.41417,1.26676,,-25.8333,

B13,B2,,0,0,0,,0,0,0,,0,0,0,,0,
B12,B2,,1.50261,1.51367,1.53209,,1.62707,1.62707,1.63082,,1.84902,1.49524,1.25571,,-8.71795,
B11,B2,,1.47682,1.32572,1.51367,,1.62707,1.62707,1.63456,,1.9043,1.42522,1.2078,,-6.21469,
B10,B2,,1.43996,1.44365,1.45839,,1.63456,1.63456,1.63082,,1.91904,1.42891,1.23359,,-9.43396,
B9,B2,,1.28887,1.31098,1.26308,,1.62707,1.63456,1.62707,,1.93746,1.46945,1.25571,,85.0575,
B8,B2,,1.24834,1.28887,1.27782,,1.63082,1.6458,1.63082,,1.93746,1.44734,1.24834,,88.2716,
B7,B2,,1.26676,1.25571,1.24834,,1.62707,1.63082,1.63456,,1.9043,1.42522,1.24096,,91.3333,
B6,B2,,1.43259,1.45471,1.43628,,1.62332,1.62707,1.62707,,1.91904,1.39206,1.20411,,-26.1438,
B5,B2,,1.45102,1.49156,1.46208,,1.62707,1.62707,1.63831,,1.91167,1.43996,1.26676,,-16.3121,
B4,B2,,1.44734,1.46576,1.44734,,1.62707,1.62707,1.62707,,1.91904,1.41785,1.24834,,-21.0145,
B3,B2,,1.44365,1.43259,1.44734,,1.63082,1.63082,1.63456,,1.93378,1.40311,1.24096,,-23.4848,

C13,C2,,0,0,0,,0,0,0,,0,0,0,,0,
C12,C2,,1.36626,1.27413,1.31467,,1.62707,1.61958,1.63831,,1.94115,1.42891,1.26676,,68.1818,
C11,C2,,1.35521,1.3073,1.29256,,1.62332,1.62332,1.63456,,1.94115,1.42154,1.26676,,66.6667,
C10,C2,,1.31098,1.31467,1.31467,,1.63831,1.63082,1.62707,,1.93009,1.44365,1.27045,,75.1773,
C9,C2,,1.31467,1.3073,1.28887,,1.62707,1.62707,1.62707,,1.93009,1.42522,1.24096,,66,
C8,C2,,1.28887,1.26676,1.25939,,1.61958,1.63456,1.62707,,1.91535,1.41048,1.23728,,80.1418,
C7,C2,,1.24465,1.25571,1.27413,,1.63082,1.61958,1.63831,,1.93746,1.42154,1.27782,,113.675,
C6,C2,,1.25939,1.26308,1.28519,,1.62707,1.63456,1.63082,,1.92641,1.41417,1.24096,,83.6879,
C5,C2,,1.24096,1.24834,1.26308,,1.63082,1.63831,1.63082,,1.91904,1.4068,1.24096,,94.0741,
C4,C2,,1.45471,1.41048,1.41048,,1.62707,1.62332,1.61958,,1.92641,1.42522,1.24465,,0,
C3,C2,,1.36995,1.41048,1.38837,,1.62707,1.62707,1.62707,,1.95221,1.42154,1.22991,,16.6667,

D13,D2,,0,0,0,,0,0,0,,0,0,0,,0,
D12,D2,,1.63896,1.58369,1.55421,,1.62707,1.63456,1.62332,,1.91167,1.48419,1.21885,,-40.7407,
D11,D2,,1.35889,1.45102,1.38469,,1.63082,1.62707,1.62707,,1.94484,1.41785,1.23359,,10.6667,
D10,D2,,1.31835,1.35889,1.31835,,1.62707,1.63082,1.62332,,1.93378,1.43996,1.24465,,55.3459,
D9,D2,,1.33309,1.27782,1.32941,,1.64205,1.62332,1.63456,,1.94115,1.41785,1.24465,,60.2837,
D8,D2,,1.45102,1.31467,1.31835,,1.63456,1.63082,1.63082,,1.95589,1.46208,1.21517,,40.796,
D7,D2,,1.38837,1.36626,1.31098,,1.63082,1.62707,1.63456,,1.95221,1.42891,1.25202,,41.6667,
D6,D2,,1.26676,1.25571,1.24096,,1.62707,1.63082,1.62707,,1.95221,1.44365,1.22991,,88.5057,
D5,D2,,1.25202,1.23359,1.25202,,1.62332,1.6458,1.62707,,1.95958,1.43996,1.24465,,99.3711,
D4,D2,,1.26676,1.26308,1.24096,,1.63082,1.62707,1.63082,,1.94115,1.42891,1.26676,,106.061,
D3,D2,,1.27782,1.29256,1.27782,,1.62707,1.62707,1.62332,,1.96326,1.43259,1.29256,,107.018,


Subject:,andre_bs,,Start time:,Thu Mar 05 18:19:07 2020

Electrode 2 location:,2,,End time:,Thu Mar 05 20:00:54 2020

