Electrode 1,Electrode 2,,,vFlex,,,,vPot,,,Flat,Resting,Fully Bended,,Prob
A13,A2,,0,0,0,,0,0,0,,0,,0,,0,
A12,A2,,0,0,0,,0,0,0,,0,,0,,0,
A11,A2,,1.4068,1.381,1.41785,,0.840503,0.256196,0.724391,,1.91167,,1.4068,,100.973,
A10,A2,,0,0,0,,0,0,0,,0,,0,,0,
A9,A2,,1.37732,1.45102,1.381,,1.054,1.27124,1.31244,,1.9043,,1.37363,,94.4444,
A8,A2,,0,0,0,,0,0,0,,0,,0,,0,
A7,A2,,1.36626,1.37363,1.4068,,1.3499,1.38361,1.45852,,1.90061,,1.38469,,100.476,
A6,A2,,0,0,0,,0,0,0,,0,,0,,0,
A5,A2,,1.38837,1.37363,1.36995,,1.59711,1.51096,1.58961,,1.89324,,1.43259,,112,
A4,A2,,0,0,0,,0,0,0,,0,,0,,0,
A3,A2,,0,0,0,,0,0,0,,0,,0,,0,

B13,B2,,0,0,0,,0,0,0,,0,,0,,0,
B12,B2,,0,0,0,,0,0,0,,0,,0,,0,
B11,B2,,1.45102,1.41417,1.45102,,0.301143,1.3911,1.47725,,1.95958,,1.41785,,96.1451,
B10,B2,,0,0,0,,0,0,0,,0,,0,,0,
B9,B2,,1.43628,1.39574,1.48419,,1.4735,1.35364,1.58212,,1.95221,,1.381,,89.8925,
B8,B2,,0,0,0,,0,0,0,,0,,0,,0,
B7,B2,,1.39206,1.38837,1.41048,,1.57838,1.59336,1.59336,,1.93746,,1.381,,97.1302,
B6,B2,,0,0,0,,0,0,0,,0,,0,,0,
B5,B2,,1.40311,1.44365,1.46945,,1.58961,1.59336,1.60834,,1.94852,,1.43259,,98.8095,
B4,B2,,0,0,0,,0,0,0,,0,,0,,0,
B3,B2,,0,0,0,,0,0,0,,0,,0,,0,

C13,C2,,0,0,0,,0,0,0,,0,,0,,0,
C12,C2,,0,0,0,,0,0,0,,0,,0,,0,
C11,C2,,1.49524,1.43259,1.39206,,1.29746,1.28622,1.00531,,1.92272,,1.42891,,97.7612,
C10,C2,,0,0,0,,0,0,0,,0,,0,,0,
C9,C2,,1.44365,1.38469,1.43259,,1.52969,1.50721,1.39859,,1.91904,,1.43628,,103.308,
C8,C2,,0,0,0,,0,0,0,,0,,0,,0,
C7,C2,,1.43259,1.44365,1.37732,,0.552095,1.6046,1.60834,,1.90798,,1.44365,,105.556,
C6,C2,,0,0,0,,0,0,0,,0,,0,,0,
C5,C2,,1.44365,1.44734,1.39943,,1.3911,1.30495,1.3087,,1.95589,,1.39574,,93.8596,
C4,C2,,0,0,0,,0,0,0,,0,,0,,0,
C3,C2,,0,0,0,,0,0,0,,0,,0,,0,

D13,D2,,0,0,0,,0,0,0,,0,,0,,0,
D12,D2,,0,0,0,,0,0,0,,0,,0,,0,
D11,D2,,1.36626,1.42522,1.46945,,0.859231,1.41732,1.57089,,1.90798,,1.41417,,98.7562,
D10,D2,,0,0,0,,0,0,0,,0,,0,,0,
D9,D2,,1.41048,1.34784,1.47682,,1.58587,1.00156,1.28248,,1.94115,,1.41785,,101.174,
D8,D2,,0,0,0,,0,0,0,,0,,0,,0,
D7,D2,,1.39574,1.4068,1.39574,,1.6046,1.46601,1.41357,,1.90798,,1.36626,,93.8776,
D6,D2,,0,0,0,,0,0,0,,0,,0,,0,
D5,D2,,1.36995,1.43628,1.41417,,1.00905,0.21874,0.698172,,1.91167,,1.44365,,107.874,
D4,D2,,0,0,0,,0,0,0,,0,,0,,0,
D3,D2,,0,0,0,,0,0,0,,0,,0,,0,


Start time:,Tue Feb 25 17:23:27 2020

End time:,Tue Feb 25 17:31:56 2020

