Electrode 1,Electrode 2,,,vFlex,,,,vPot,,,Flat,Resting,Fully Bended,,Prob
A13,A4,,0,0,0,,0,0,0,,0,0,0,,81,
A12,A4,,1.50261,1.48419,1.52472,,0.833012,1.14764,1.02778,,1.81954,1.50261,1.25939,,45,
A11,A4,,0,0,0,,0,0,0,,0,0,0,,5,
A10,A4,,1.50261,1.51735,1.52104,,0.907923,0.937887,0.967852,,1.87113,1.47313,1.23359,,64,
A9,A4,,0,0,0,,0,0,0,,0,0,0,,62,
A8,A4,,1.49156,1.51367,1.5063,,0.91916,1.00531,0.941633,,1.82322,1.48787,1.21148,,58,
A7,A4,,0,0,0,,0,0,0,,0,0,0,,78,
A6,A4,,1.52104,1.53209,1.53946,,1.11767,1.06524,1.14015,,1.83059,1.5063,1.25939,,24,
A5,A4,,0,0,0,,0,0,0,,0,0,0,,69,

B13,B4,,0,0,0,,0,0,0,,0,0,0,,82,
B12,B4,,0,0,0,,0,0,0,,0,0,0,,92,
B11,B4,,0,0,0,,0,0,0,,0,0,0,,53,
B10,B4,,0,0,0,,0,0,0,,0,0,0,,2,
B9,B4,,0,0,0,,0,0,0,,0,0,0,,4,
B8,B4,,0,0,0,,0,0,0,,0,0,0,,91,
B7,B4,,0,0,0,,0,0,0,,0,0,0,,36,
B6,B4,,0,0,0,,0,0,0,,0,0,0,,27,
B5,B4,,0,0,0,,0,0,0,,0,0,0,,42,

C13,C4,,0,0,0,,0,0,0,,0,0,0,,35,
C12,C4,,1.25571,1.28519,1.27413,,0.997816,1.08771,1.02404,,1.81954,1.46945,1.26308,,99,
C11,C4,,0,0,0,,0,0,0,,0,0,0,,67,
C10,C4,,1.2815,1.27413,1.25939,,1.17011,1.08396,1.19633,,1.88956,1.46208,1.25202,,12,
C9,C4,,0,0,0,,0,0,0,,0,0,0,,69,
C8,C4,,1.25571,1.22991,1.22991,,1.19259,1.18135,1.15513,,1.84165,1.41417,1.26676,,38,
C7,C4,,0,0,0,,0,0,0,,0,0,0,,71,
C6,C4,,1.25571,1.23728,1.26308,,1.18135,1.20757,1.22255,,1.81585,1.43996,1.24096,,26,
C5,C4,,0,0,0,,0,0,0,,0,0,0,,47,

D13,D4,,0,0,0,,0,0,0,,0,0,0,,44,
D12,D4,,0,0,0,,0,0,0,,0,0,0,,47,
D11,D4,,0,0,0,,0,0,0,,0,0,0,,68,
D10,D4,,0,0,0,,0,0,0,,0,0,0,,53,
D9,D4,,0,0,0,,0,0,0,,0,0,0,,11,
D8,D4,,0,0,0,,0,0,0,,0,0,0,,41,
D7,D4,,0,0,0,,0,0,0,,0,0,0,,64,
D6,D4,,0,0,0,,0,0,0,,0,0,0,,73,
D5,D4,,0,0,0,,0,0,0,,0,0,0,,33,


Subject:,glen_bb,,Start time:,Thu Mar 05 16:19:32 2020

Electrode 2 location:,4,,End time:,Thu Mar 05 16:25:29 2020

