Electrode 1,Electrode 2,,,vFlex,,,,vPot,,,Flat,Resting,Fully Bended,,Prob
A13,A6,,0,0,0,,0,0,0,,0,0,0,,0,
A12,A6,,1.46208,1.45471,1.48419,,0.926651,0.979088,1.13266,,1.74584,1.43259,1.25939,,-19.8582,
A11,A6,,0,0,0,,0,0,0,,0,0,0,,0,
A10,A6,,1.45471,1.49524,1.47682,,1.03902,1.03902,1.14389,,1.81585,1.42891,1.26676,,-28.7879,
A9,A6,,0,0,0,,0,0,0,,0,0,0,,0,
A8,A6,,1.43996,1.44365,1.45471,,1.09895,1.21131,1.17386,,1.80111,1.44734,1.25202,,0.628931,
A7,A6,,0,0,0,,0,0,0,,0,0,0,,0,

B13,B6,,0,0,0,,0,0,0,,0,0,0,,0,
B12,B6,,0,0,0,,0,0,0,,0,0,0,,0,
B11,B6,,0,0,0,,0,0,0,,0,0,0,,0,
B10,B6,,0,0,0,,0,0,0,,0,0,0,,0,
B9,B6,,0,0,0,,0,0,0,,0,0,0,,0,
B8,B6,,0,0,0,,0,0,0,,0,0,0,,0,
B7,B6,,0,0,0,,0,0,0,,0,0,0,,0,

C13,C6,,0,0,0,,0,0,0,,0,0,0,,0,
C12,C6,,1.25939,1.2815,1.25571,,1.04651,1.07273,1.17011,,1.80848,1.43996,1.30361,,127.928,
C11,C6,,0,0,0,,0,0,0,,0,0,0,,0,
C10,C6,,1.25571,1.3073,1.30361,,1.22255,1.41732,1.4323,,1.82322,1.42522,1.29624,,105.714,
C9,C6,,0,0,0,,0,0,0,,0,0,0,,0,
C8,C6,,1.25202,1.30361,1.35521,,1.29746,1.5634,1.49223,,1.85271,1.41048,1.27413,,78.3784,
C7,C6,,0,0,0,,0,0,0,,0,0,0,,0,

D13,D6,,0,0,0,,0,0,0,,0,0,0,,0,
D12,D6,,0,0,0,,0,0,0,,0,0,0,,0,
D11,D6,,0,0,0,,0,0,0,,0,0,0,,0,
D10,D6,,0,0,0,,0,0,0,,0,0,0,,0,
D9,D6,,0,0,0,,0,0,0,,0,0,0,,0,
D8,D6,,0,0,0,,0,0,0,,0,0,0,,0,
D7,D6,,0,0,0,,0,0,0,,0,0,0,,0,


Subject:,glen_bb_6,,Start time:,Thu Mar 05 16:27:53 2020

Electrode 2 location:,6,,End time:,Thu Mar 05 16:31:07 2020

