Electrode 1,Electrode 2,,,vFlex,,,,vPot,,,Flat,Resting,Fully Bended,,Prob
A13,A4,,0,0,0,,0,0,0,,0,0,0,,0,
A12,A4,,1.49524,1.53209,1.50998,,0.728136,0.728136,0.844248,,1.81954,1.45839,1.28519,,-31.2057,
A11,A4,,1.49524,1.49893,1.49893,,0.750609,0.746864,0.776828,,1.8048,1.45102,1.22991,,-21.1111,
A10,A4,,1.49893,1.49156,1.5063,,0.720645,0.720645,0.716899,,1.84165,1.56526,1.30361,,25.3521,
A9,A4,,1.4805,1.49156,1.52104,,0.653225,0.739373,0.649479,,1.82691,1.49893,1.27413,,0.546448,
A8,A4,,1.51735,1.52841,1.53209,,0.645734,0.705663,0.761846,,1.85639,1.46576,1.29993,,-36.2963,
A7,A4,,1.47682,1.50261,1.48787,,0.728136,0.758101,0.788065,,1.81217,1.47682,1.22991,,-4.97512,
A6,A4,,1.49524,1.49156,1.49524,,0.810538,0.818029,0.900432,,1.85639,1.47313,1.24096,,-8.99471,
A5,A4,,1.49524,1.50998,1.53209,,0.750609,0.821775,0.844248,,1.84902,1.4805,1.23359,,-12.9353,

B13,B4,,0,0,0,,0,0,0,,0,0,0,,0,
B12,B4,,1.52841,1.46576,1.45839,,0.750609,0.889195,0.743118,,1.84534,1.48787,1.32572,,2.27273,
B11,B4,,1.53578,1.53578,1.55052,,0.900432,0.982834,1.03902,,1.84534,1.52104,1.3073,,-9.1954,
B10,B4,,1.48787,1.49893,1.50261,,0.791811,0.780574,0.825521,,1.83796,1.45471,1.27782,,-23.6111,
B9,B4,,1.47313,1.5063,1.50261,,0.773083,0.776828,0.784319,,1.81217,1.51735,1.25571,,8.92019,
B8,B4,,1.5063,1.5063,1.49156,,0.698172,0.765592,0.758101,,1.86008,1.52472,1.2815,,9.59596,
B7,B4,,1.49156,1.50261,1.49524,,0.754355,0.735627,0.866722,,1.81217,1.46208,1.26308,,-17.284,
B6,B4,,1.52104,1.50261,1.49893,,0.862976,0.900432,0.941633,,1.87113,1.47682,1.27782,,-15.4321,
B5,B4,,1.48787,1.49524,1.49156,,0.795556,0.761846,0.791811,,1.81954,1.46208,1.27413,,-15.6863,

C13,C4,,0,0,0,,0,0,0,,0,0,0,,0,
C12,C4,,1.27413,1.31098,1.31098,,0.836757,0.803047,0.851739,,1.77532,1.47313,1.2815,,91.0256,
C11,C4,,1.34046,1.28887,1.32572,,0.836757,0.964106,1.0128,,1.85271,1.59474,1.25202,,80.6452,
C10,C4,,1.31098,1.28519,1.30361,,1.01654,1.15138,1.14015,,1.83059,1.44734,1.26676,,81.6327,
C9,C4,,1.32204,1.31467,1.28887,,1.32743,1.37986,1.43979,,1.81217,1.41785,1.25202,,65.9259,
C8,C4,,1.33309,1.29624,1.33309,,1.48474,1.5147,1.58587,,1.88219,1.5063,1.28519,,83.8889,
C7,C4,,1.28887,1.32941,1.35521,,1.35364,1.40983,1.28622,,1.83428,1.49524,1.27413,,77.2222,
C6,C4,,1.2815,1.27782,1.26676,,0.967852,0.949124,0.949124,,1.83796,1.46208,1.29256,,110.145,
C5,C4,,1.49893,1.33678,1.50998,,0.960361,0.818029,1.02404,,1.85271,1.49156,1.28887,,21.2121,

D13,D4,,0,0,0,,0,0,0,,0,0,0,,0,
D12,D4,,1.35152,1.31467,1.31467,,0.784319,0.791811,0.716899,,1.86008,1.44734,1.25202,,61.6352,
D11,D4,,1.2815,1.30361,1.30361,,0.810538,0.65697,0.698172,,1.9043,1.45471,1.27782,,89.5833,
D10,D4,,1.3073,1.30361,1.28519,,0.818029,0.825521,0.91916,,1.84165,1.46208,1.29256,,96.3768,
D9,D4,,1.29993,1.28519,1.30361,,0.776828,0.964106,0.907923,,1.8785,1.42522,1.25571,,76.087,
D8,D4,,1.43259,1.50998,1.46945,,1.28248,0.818029,0.836757,,1.83796,1.47313,1.25571,,1.12994,
D7,D4,,1.49156,1.47682,1.49156,,0.885449,0.911668,0.855485,,1.87113,1.45102,1.23359,,-16.3842,
D6,D4,,1.2815,1.31098,1.2815,,0.926651,0.889195,0.840503,,1.86376,1.45839,1.22622,,71.9577,
D5,D4,,1.5063,1.48787,1.47682,,0.518385,0.668207,0.765592,,1.87482,1.46208,1.25202,,-13.4503,


Subject:,glen_bs,,Start time:,Thu Mar 05 15:12:00 2020

Electrode 2 location:,4,,End time:,Thu Mar 05 15:46:40 2020

