Electrode 1,Electrode 2,,,vFlex,,,,vPot,,,Flat,Resting,Fully Bended,,Prob
A13,A4,,0,0,0,,0,0,0,,0,0,0,,0,
A12,A4,,1.53209,1.50998,1.51367,,0.761846,0.847994,0.844248,,1.75689,1.46945,1.28887,,-27.2109,
A11,A4,,1.52841,1.48787,1.51367,,0.851739,0.907923,0.158811,,1.79006,1.5063,1.32204,,-2,
A10,A4,,1.5063,1.5063,1.55052,,0.402273,0.761846,0.821775,,1.78637,1.50998,1.32204,,-5.88235,
A9,A4,,1.50261,1.53209,1.52841,,0.735627,0.627006,0.69068,,1.79006,1.52104,1.31835,,0,
A8,A4,,1.50998,1.49893,1.50998,,0.754355,0.874213,0.892941,,1.80848,1.46208,1.2815,,-24.4898,
A7,A4,,1.53209,1.55421,1.58737,,0.98658,0.911668,0.881704,,1.80111,1.52472,1.29624,,-14.5161,
A6,A4,,1.52104,1.51735,1.51735,,0.874213,0.851739,0.731882,,1.81585,1.52841,1.30361,,4.37158,
A5,A4,,1.50998,1.50261,1.50998,,0.990325,1.00156,0.997816,,1.79743,1.51735,1.31835,,4.93827,

B13,B4,,0,0,0,,0,0,0,,0,0,0,,0,
B12,B4,,1.4805,1.55052,1.5063,,0.788065,0.780574,0.724391,,1.83796,1.53578,1.30361,,10.0529,
B11,B4,,1.53578,1.53209,1.5063,,0.638243,0.694426,0.698172,,1.81217,1.49893,1.33309,,-15.5556,
B10,B4,,1.55789,1.52841,1.54315,,0.720645,0.701917,0.660716,,1.81217,1.53209,1.30361,,-4.83871,
B9,B4,,1.54315,1.57632,1.54315,,0.735627,0.604533,0.679444,,1.84902,1.55421,1.31467,,0,
B8,B4,,1.55052,1.57263,1.53946,,0.686935,0.645734,0.612024,,1.81217,1.52104,1.31098,,-15.7895,
B7,B4,,1.50998,1.52841,1.56526,,0.615769,0.58955,0.58955,,1.83796,1.50261,1.3073,,-16.3522,
B6,B4,,1.54315,1.53578,1.54684,,0.743118,0.716899,0.735627,,1.84534,1.5063,1.35521,,-23.5772,
B5,B4,,1.51367,1.52472,1.52472,,0.612024,0.649479,0.612024,,1.84165,1.51735,1.34784,,-2.17391,

C13,C4,,0,0,0,,0,0,0,,0,0,0,,0,
C12,C4,,1.27413,1.31467,1.28519,,0.758101,0.630752,0.664462,,1.81585,1.51367,1.34046,,128.369,
C11,C4,,1.30361,1.31467,1.30361,,0.597042,0.641988,0.529622,,1.82322,1.53578,1.31098,,101.639,
C10,C4,,1.3073,1.31467,1.28519,,0.746864,0.724391,0.705663,,1.82691,1.52104,1.32572,,111.95,
C9,C4,,1.50998,1.52104,1.51367,,0.945378,0.821775,0.934142,,1.83059,1.46576,1.33678,,-38.0952,
C8,C4,,1.52472,1.51367,1.53578,,0.851739,0.784319,0.847994,,1.71267,1.47682,1.32941,,-32.5,
C7,C4,,1.54315,1.51735,1.55052,,0.859231,0.720645,0.769337,,1.80848,1.50261,1.28519,,-15.8192,
C6,C4,,1.43996,1.42522,1.41417,,0.806793,0.664462,0.653225,,1.8048,1.56526,1.31835,,56.2189,
C5,C4,,1.56526,1.56526,1.55421,,0.585805,0.55584,0.525876,,1.74952,1.58,1.30361,,6.66667,

D13,D4,,0,0,0,,0,0,0,,0,0,0,,0,
D12,D4,,1.28887,1.32572,1.34046,,0.62326,0.683189,0.559586,,1.74215,1.54315,1.30361,,93.8462,
D11,D4,,1.29993,1.31467,1.30361,,0.660716,0.675698,0.52213,,1.78637,1.53946,1.33678,,115.152,
D10,D4,,1.26676,1.31835,1.29256,,0.911668,0.889195,0.945378,,1.76058,1.49156,1.31835,,114.894,
D9,D4,,1.28887,1.2815,1.27782,,0.765592,0.791811,0.810538,,1.79743,1.56158,1.34415,,128.249,
D8,D4,,1.2815,1.30361,1.29993,,0.499657,0.701917,0.859231,,1.78269,1.49524,1.33678,,126.357,
D7,D4,,1.32572,1.35152,1.33309,,0.851739,0.911668,0.795556,,1.75321,1.49156,1.32941,,95.4545,
D6,D4,,1.33678,1.31467,1.33309,,0.915414,0.821775,0.716899,,1.81954,1.46208,1.31098,,88.6179,
D5,D4,,1.35521,1.29256,1.33678,,0.649479,0.705663,0.810538,,1.78637,1.48787,1.31835,,94.2029,


Subject:,glen_ss,,Start time:,Thu Mar 05 12:24:32 2020

Electrode 2 location:,4,,End time:,Thu Mar 05 12:51:54 2020

