Electrode 1,Electrode 2,,,vFlex,,,,vPot,,,Flat,Resting,Fully Bended,,Prob
A13,A2,,0,0,0,,0,0,0,,0,,0,,0,
A12,A2,,1.53578,1.55789,1.53578,,1.59711,1.58961,1.60834,,1.83428,,1.39574,,66.3866,
A11,A2,,0,0,0,,0,0,0,,0,,0,,0,
A10,A2,,1.66108,1.62054,1.66845,,1.6046,1.6046,1.59336,,1.80848,,1.39943,,38.7387,
A9,A2,,0,0,0,,0,0,0,,0,,0,,0,
A8,A2,,1.59106,1.60948,1.57632,,1.6046,1.6046,1.58587,,1.8048,,1.34415,,46.1333,
A7,A2,,0,0,0,,0,0,0,,0,,0,,0,
A6,A2,,1.61317,1.58369,1.60948,,1.6046,1.57838,1.60085,,1.76426,,1.381,,42.3077,
A5,A2,,0,0,0,,0,0,0,,0,,0,,0,
A4,A2,,1.59106,1.61685,1.60948,,1.59711,1.60085,1.58961,,1.83428,,1.37363,,49.6,
A3,A2,,0,0,0,,0,0,0,,0,,0,,0,

B13,B2,,0,0,0,,0,0,0,,0,,0,,0,
B12,B2,,1.54315,1.54315,1.57263,,1.61958,1.58961,1.58961,,1.79374,,1.36626,,56.3218,
B11,B2,,0,0,0,,0,0,0,,0,,0,,0,
B10,B2,,1.44734,1.43628,1.43996,,1.58587,1.60085,1.59711,,1.86008,,1.37732,,86.7684,
B9,B2,,0,0,0,,0,0,0,,0,,0,,0,
B8,B2,,1.39943,1.49156,1.46945,,1.57089,1.58587,1.59711,,1.82322,,1.37363,,82.2404,
B7,B2,,0,0,0,,0,0,0,,0,,0,,0,
B6,B2,,1.62791,1.62791,1.60948,,1.62707,1.58961,1.6046,,1.83059,,1.34415,,42.9293,
B5,B2,,0,0,0,,0,0,0,,0,,0,,0,
B4,B2,,1.65002,1.65739,1.64634,,1.59711,1.57089,1.59336,,1.81217,,1.34415,,34.3832,
B3,B2,,0,0,0,,0,0,0,,0,,0,,0,

C13,C2,,0,0,0,,0,0,0,,0,,0,,0,
C12,C2,,1.62054,1.62422,1.62054,,1.59711,1.59711,1.6046,,1.86376,,1.36258,,48.2843,
C11,C2,,0,0,0,,0,0,0,,0,,0,,0,
C10,C2,,1.42154,1.39206,1.4068,,1.60085,1.6046,1.61958,,1.81954,,1.35889,,89.6,
C9,C2,,0,0,0,,0,0,0,,0,,0,,0,
C8,C2,,1.54684,1.57632,1.58737,,1.58587,1.60834,1.60085,,1.83059,,1.35889,,55.2083,
C7,C2,,0,0,0,,0,0,0,,0,,0,,0,
C6,C2,,1.59106,1.60948,1.61685,,1.58212,1.58587,1.58961,,1.81217,,1.35152,,44.8,
C5,C2,,0,0,0,,0,0,0,,0,,0,,0,
C4,C2,,1.67582,1.63896,1.63896,,1.61583,1.58961,1.57838,,1.83059,,1.35889,,38.0208,
C3,C2,,0,0,0,,0,0,0,,0,,0,,0,

D13,D2,,0,0,0,,0,0,0,,0,,0,,0,
D12,D2,,1.51735,1.46208,1.4068,,1.59711,1.61583,1.58587,,1.84902,,1.34784,,77.2059,
D11,D2,,0,0,0,,0,0,0,,0,,0,,0,
D10,D2,,1.68319,1.69424,1.67213,,1.61958,1.60085,1.61958,,1.85639,,1.36995,,35.6061,
D9,D2,,0,0,0,,0,0,0,,0,,0,,0,
D8,D2,,1.57263,1.60948,1.59474,,1.61209,1.58961,1.59336,,1.85271,,1.36258,,53.1328,
D7,D2,,0,0,0,,0,0,0,,0,,0,,0,
D6,D2,,1.63159,1.62054,1.63896,,1.57838,1.59336,1.59336,,1.87113,,1.36258,,47.343,
D5,D2,,0,0,0,,0,0,0,,0,,0,,0,
D4,D2,,1.60948,1.60948,1.63896,,1.58587,1.59336,0.102628,,1.79006,,1.37363,,41.0029,
D3,D2,,0,0,0,,0,0,0,,0,,0,,0,


Start time:,Tue Feb 25 16:45:21 2020

End time:,Tue Feb 25 16:57:00 2020

