Electrode 1,Electrode 2,,,vFlex,,,,vPot,,,Flat,Resting,Fully Bended,,Prob
A13,A2,,0,0,0,,0,0,0,,0,0,0,,0,
A12,A2,,1.44365,1.43259,1.46208,,1.63456,1.62707,1.62707,,1.87482,1.42891,1.2078,,-7.77778,
A11,A2,,0,0,0,,0,0,0,,0,0,0,,0,
A10,A2,,1.52104,1.49893,1.5063,,1.62707,1.63831,1.63831,,1.91904,1.41417,1.19674,,-43.5028,
A9,A2,,0,0,0,,0,0,0,,0,0,0,,0,
A8,A2,,1.49156,1.48419,1.48419,,1.63831,1.63831,1.62332,,1.91167,1.42522,1.23359,,-32.0513,
A7,A2,,0,0,0,,0,0,0,,0,0,0,,0,
A6,A2,,1.4805,1.50998,1.5063,,1.63456,1.61583,1.62332,,1.90798,1.47682,1.22991,,-8.95522,
A5,A2,,0,0,0,,0,0,0,,0,0,0,,0,
A4,A2,,1.45839,1.4805,1.49156,,1.61958,1.62707,1.63456,,1.92641,1.41785,1.22254,,-30.1887,
A3,A2,,0,0,0,,0,0,0,,0,0,0,,0,

B13,B2,,0,0,0,,0,0,0,,0,0,0,,0,
B12,B2,,0,0,0,,0,0,0,,0,0,0,,0,
B11,B2,,0,0,0,,0,0,0,,0,0,0,,0,
B10,B2,,0,0,0,,0,0,0,,0,0,0,,0,
B9,B2,,0,0,0,,0,0,0,,0,0,0,,0,
B8,B2,,0,0,0,,0,0,0,,0,0,0,,0,
B7,B2,,0,0,0,,0,0,0,,0,0,0,,0,
B6,B2,,0,0,0,,0,0,0,,0,0,0,,0,
B5,B2,,0,0,0,,0,0,0,,0,0,0,,0,
B4,B2,,0,0,0,,0,0,0,,0,0,0,,0,
B3,B2,,0,0,0,,0,0,0,,0,0,0,,0,

C13,C2,,0,0,0,,0,0,0,,0,0,0,,0,
C12,C2,,1.52841,1.52104,1.53946,,1.63082,1.64205,1.62332,,1.91167,1.46208,1.22254,,-28.2051,
C11,C2,,0,0,0,,0,0,0,,0,0,0,,0,
C10,C2,,1.28519,1.27045,1.25202,,1.63456,1.62707,1.63082,,1.89324,1.48419,1.21517,,79.9087,
C9,C2,,0,0,0,,0,0,0,,0,0,0,,0,
C8,C2,,1.43259,1.53946,1.55052,,1.63456,1.61583,1.62707,,1.90061,1.46576,1.25939,,-20.2381,
C7,C2,,0,0,0,,0,0,0,,0,0,0,,0,
C6,C2,,1.49524,1.5063,1.55052,,1.62707,1.61958,1.63082,,1.91167,1.43628,1.23359,,-40,
C5,C2,,0,0,0,,0,0,0,,0,0,0,,0,
C4,C2,,1.58737,1.53209,1.57632,,1.63082,1.64205,1.62332,,1.93746,1.46576,1.23359,,-42.8571,
C3,C2,,0,0,0,,0,0,0,,0,0,0,,0,

D13,D2,,0,0,0,,0,0,0,,0,0,0,,0,
D12,D2,,0,0,0,,0,0,0,,0,0,0,,0,
D11,D2,,0,0,0,,0,0,0,,0,0,0,,0,
D10,D2,,0,0,0,,0,0,0,,0,0,0,,0,
D9,D2,,0,0,0,,0,0,0,,0,0,0,,0,
D8,D2,,0,0,0,,0,0,0,,0,0,0,,0,
D7,D2,,0,0,0,,0,0,0,,0,0,0,,0,
D6,D2,,0,0,0,,0,0,0,,0,0,0,,0,
D5,D2,,0,0,0,,0,0,0,,0,0,0,,0,
D4,D2,,0,0,0,,0,0,0,,0,0,0,,0,
D3,D2,,0,0,0,,0,0,0,,0,0,0,,0,


Subject:,jay_bb,,Start time:,Thu Mar 05 17:15:45 2020

Electrode 2 location:,2,,End time:,Thu Mar 05 17:20:19 2020

