Electrode 1,Electrode 2,,,vFlex,,,,vPot,,,Flat,Resting,Fully Bended,,Prob
A13,A2,,0,0,0,,0,0,0,,0,,0,,0,
A12,A2,,0,0,0,,0,0,0,,0,,0,,0,
A11,A2,,1.4068,1.37732,1.36626,,0.840503,0.836757,0.896686,,1.82322,,1.36995,,97.019,
A10,A2,,0,0,0,,0,0,0,,0,,0,,0,
A9,A2,,1.37732,1.381,1.38837,,1.03153,0.514639,1.17386,,1.8785,,1.38837,,100,
A8,A2,,0,0,0,,0,0,0,,0,,0,,0,
A7,A2,,1.36258,1.38469,1.41785,,1.20008,1.05025,1.37612,,1.84902,,1.36626,,95.4198,
A6,A2,,0,0,0,,0,0,0,,0,,0,,0,
A5,A2,,1.39206,1.39574,1.41048,,0.25245,1.50721,1.5147,,1.86008,,1.38837,,97.6563,
A4,A2,,0,0,0,,0,0,0,,0,,0,,0,
A3,A2,,0,0,0,,0,0,0,,0,,0,,0,

B13,B2,,0,0,0,,0,0,0,,0,,0,,0,
B12,B2,,0,0,0,,0,0,0,,0,,0,,0,
B11,B2,,1.36995,1.39574,1.41417,,0.196267,0.870467,1.05775,,1.83796,,1.39206,,99.7245,
B10,B2,,0,0,0,,0,0,0,,0,,0,,0,
B9,B2,,1.37363,1.4068,1.38837,,1.3087,1.04651,1.44354,,1.84902,,1.4068,,100,
B8,B2,,0,0,0,,0,0,0,,0,,0,,0,
B7,B2,,1.40311,1.39574,1.38837,,0.55584,1.08771,1.38735,,1.89324,,1.381,,97.1223,
B6,B2,,0,0,0,,0,0,0,,0,,0,,0,
B5,B2,,1.37732,1.36626,1.39943,,1.12517,1.48474,1.61583,,1.80111,,1.39206,,100,
B4,B2,,0,0,0,,0,0,0,,0,,0,,0,
B3,B2,,0,0,0,,0,0,0,,0,,0,,0,

C13,C2,,0,0,0,,0,0,0,,0,,0,,0,
C12,C2,,0,0,0,,0,0,0,,0,,0,,0,
C11,C2,,1.38469,1.37363,1.39943,,1.02404,1.45103,1.49598,,1.83796,,1.38469,,99.729,
C10,C2,,0,0,0,,0,0,0,,0,,0,,0,
C9,C2,,1.4068,1.38837,1.41048,,1.02029,1.49972,1.6046,,1.84534,,1.41785,,100,
C8,C2,,0,0,0,,0,0,0,,0,,0,,0,
C7,C2,,1.39206,1.37732,1.39943,,1.39859,1.4735,1.48848,,1.76426,,1.37732,,96.8254,
C6,C2,,0,0,0,,0,0,0,,0,,0,,0,
C5,C2,,1.37363,1.38469,1.36995,,1.57463,1.59336,1.58587,,1.84534,,1.381,,100,
C4,C2,,0,0,0,,0,0,0,,0,,0,,0,
C3,C2,,0,0,0,,0,0,0,,0,,0,,0,

D13,D2,,0,0,0,,0,0,0,,0,,0,,0,
D12,D2,,0,0,0,,0,0,0,,0,,0,,0,
D11,D2,,1.35889,1.36258,1.381,,1.25251,1.2188,0.552095,,1.81217,,1.36626,,99.7245,
D10,D2,,0,0,0,,0,0,0,,0,,0,,0,
D9,D2,,1.38837,1.36626,1.39943,,1.6046,1.59711,1.6046,,1.80848,,1.36995,,96.6387,
D8,D2,,0,0,0,,0,0,0,,0,,0,,0,
D7,D2,,1.37363,1.381,1.39574,,1.47725,1.59711,1.61209,,1.87113,,1.42891,,100,
D6,D2,,0,0,0,,0,0,0,,0,,0,,0,
D5,D2,,1.35889,1.36995,1.381,,1.61958,1.57838,1.59336,,1.87482,,1.39574,,100,
D4,D2,,0,0,0,,0,0,0,,0,,0,,0,
D3,D2,,0,0,0,,0,0,0,,0,,0,,0,


Start time:,Tue Feb 25 17:35:32 2020

End time:,Tue Feb 25 17:43:10 2020

