Electrode 1,Electrode 2,,,vFlex,,,,vPot,,,Flat,Resting,Fully Bended,,Prob
A13,A2,,0,0,0,,0,0,0,,0,0,0,,0,
A12,A2,,0,0,0,,0,0,0,,0,0,0,,0,
A11,A2,,0,0,0,,0,0,0,,0,0,0,,0,
A10,A2,,1.29256,1.36626,1.28519,,1.62707,1.11018,1.63082,,1.88219,1.56158,1.35889,,121.818,
A9,A2,,0,0,0,,0,0,0,,0,0,0,,0,
A8,A2,,1.29256,1.26308,1.2815,,1.61958,1.61958,1.62332,,1.90798,1.55421,1.37363,,152.381,
A7,A2,,0,0,0,,0,0,0,,0,0,0,,0,
A6,A2,,1.28519,1.27782,1.29256,,1.48099,1.62707,1.62707,,1.88956,1.54315,1.33678,,125,
A5,A2,,0,0,0,,0,0,0,,0,0,0,,0,
A4,A2,,1.49893,1.4805,1.44734,,1.62707,1.62707,1.63831,,1.9043,1.51367,1.39574,,32.2917,
A3,A2,,0,0,0,,0,0,0,,0,0,0,,0,

B13,B2,,0,0,0,,0,0,0,,0,0,0,,0,
B12,B2,,0,0,0,,0,0,0,,0,0,0,,0,
B11,B2,,0,0,0,,0,0,0,,0,0,0,,0,
B10,B2,,0,0,0,,0,0,0,,0,0,0,,0,
B9,B2,,0,0,0,,0,0,0,,0,0,0,,0,
B8,B2,,0,0,0,,0,0,0,,0,0,0,,0,
B7,B2,,0,0,0,,0,0,0,,0,0,0,,0,
B6,B2,,0,0,0,,0,0,0,,0,0,0,,0,
B5,B2,,0,0,0,,0,0,0,,0,0,0,,0,
B4,B2,,0,0,0,,0,0,0,,0,0,0,,0,
B3,B2,,0,0,0,,0,0,0,,0,0,0,,0,

C13,C2,,0,0,0,,0,0,0,,0,0,0,,0,
C12,C2,,0,0,0,,0,0,0,,0,0,0,,0,
C11,C2,,0,0,0,,0,0,0,,0,0,0,,0,
C10,C2,,1.37363,1.32941,1.30361,,1.16637,1.60834,1.42481,,1.89693,1.4805,1.36258,,122.917,
C9,C2,,0,0,0,,0,0,0,,0,0,0,,0,
C8,C2,,1.27413,1.33678,1.28519,,1.63082,1.62707,1.62707,,1.86376,1.58,1.33309,,113.93,
C7,C2,,0,0,0,,0,0,0,,0,0,0,,0,
C6,C2,,1.25571,1.32572,1.27413,,1.62332,1.63082,1.61958,,1.93009,1.58369,1.36626,,137.288,
C5,C2,,0,0,0,,0,0,0,,0,0,0,,0,
C4,C2,,1.37363,1.37732,1.54315,,1.63082,1.64205,1.64205,,1.92641,1.55421,1.33678,,56.4972,
C3,C2,,0,0,0,,0,0,0,,0,0,0,,0,

D13,D2,,0,0,0,,0,0,0,,0,0,0,,0,
D12,D2,,0,0,0,,0,0,0,,0,0,0,,0,
D11,D2,,0,0,0,,0,0,0,,0,0,0,,0,
D10,D2,,0,0,0,,0,0,0,,0,0,0,,0,
D9,D2,,0,0,0,,0,0,0,,0,0,0,,0,
D8,D2,,0,0,0,,0,0,0,,0,0,0,,0,
D7,D2,,0,0,0,,0,0,0,,0,0,0,,0,
D6,D2,,0,0,0,,0,0,0,,0,0,0,,0,
D5,D2,,0,0,0,,0,0,0,,0,0,0,,0,
D4,D2,,0,0,0,,0,0,0,,0,0,0,,0,
D3,D2,,0,0,0,,0,0,0,,0,0,0,,0,


Subject:,mary_bb,,Start time:,Thu Mar 05 16:56:18 2020

Electrode 2 location:,2,,End time:,Thu Mar 05 17:06:12 2020

