Electrode 1,Electrode 2,,,vFlex,,,,vPot,,,Flat,Resting,Fully Bended,,Prob
A13,A6,,0,0,0,,0,0,0,,0,0,0,,0,
A12,A6,,0,0,0,,0,0,0,,0,0,0,,0,
A11,A6,,1.29993,1.39943,1.39206,,0.758101,0.859231,0.945378,,1.87482,1.45839,1.32204,,69.3694,
A10,A6,,1.36995,1.37363,1.36995,,1.03902,1.00156,1.16262,,1.86008,1.49524,1.33678,,78.2946,
A9,A6,,1.2815,1.39206,1.42154,,1.2675,1.18509,1.32743,,1.87482,1.51367,1.34046,,85.8156,
A8,A6,,1.32572,1.381,1.39943,,1.28997,1.52219,1.47725,,1.83796,1.49524,1.35521,,90.3509,
A7,A6,,1.38469,1.37732,1.381,,1.42106,1.6046,1.63831,,1.84534,1.5063,1.381,,100,

B13,B6,,0,0,0,,0,0,0,,0,0,0,,0,
B12,B6,,0,0,0,,0,0,0,,0,0,0,,0,
B11,B6,,1.41785,1.39943,1.39574,,0.915414,0.746864,0.877958,,1.89693,1.49893,1.35521,,65.812,
B10,B6,,1.4068,1.39943,1.42891,,0.743118,0.69068,0.62326,,1.80111,1.51367,1.36258,,67.4797,
B9,B6,,1.41785,1.4068,1.41048,,1.11018,1.23004,1.31619,,1.88956,1.49893,1.35521,,60.6838,
B8,B6,,1.35521,1.381,1.37732,,1.15513,1.04276,1.12891,,1.88587,1.52472,1.34415,,85.034,
B7,B6,,1.41417,1.38837,1.40311,,1.24877,1.2263,1.26001,,1.91904,1.53209,1.33309,,65.4321,

C13,C6,,0,0,0,,0,0,0,,0,0,0,,0,
C12,C6,,0,0,0,,0,0,0,,0,0,0,,0,
C11,C6,,1.56526,1.54315,1.48787,,1.61958,1.61583,1.61209,,1.91167,1.51735,1.36258,,-3.73832,
C10,C6,,1.36626,1.35889,1.39574,,1.36863,1.56714,1.58212,,1.88219,1.49893,1.31835,,69.3878,
C9,C6,,1.28887,1.29256,1.32204,,1.61209,1.61583,1.61209,,1.93009,1.50261,1.33678,,121.481,
C8,C6,,1.34046,1.39943,1.38469,,1.39485,1.62332,1.61209,,1.93378,1.46576,1.32941,,66.6667,
C7,C6,,1.39574,1.3073,1.28887,,1.37237,1.5147,1.61958,,1.90798,1.53946,1.35521,,113.333,

D13,D6,,0,0,0,,0,0,0,,0,0,0,,0,
D12,D6,,0,0,0,,0,0,0,,0,0,0,,0,
D11,D6,,1.42154,1.35889,1.38837,,1.39485,1.59711,1.6046,,1.91535,1.41048,1.36258,,43.5897,
D10,D6,,1.32204,1.40311,1.43259,,1.49223,1.63082,1.61209,,1.94852,1.50261,1.39574,,109.195,
D9,D6,,1.44365,1.39943,1.38837,,1.62332,1.61209,1.61958,,1.94852,1.50261,1.38469,,78.125,
D8,D6,,1.4068,1.45471,1.43259,,1.61583,1.62707,1.62707,,1.85639,1.5063,1.32572,,41.4966,
D7,D6,,1.28887,1.46576,1.4068,,1.20382,1.40608,1.33117,,1.88956,1.4805,1.33678,,64.9573,


Subject:,mary_bs,,Start time:,Fri Mar 06 13:48:12 2020

Electrode 2 location:,6,,End time:,Fri Mar 06 14:02:14 2020

